building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/24/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/25/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/26/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/27/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/28/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/29/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,04/30/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/01/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/02/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/03/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/04/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/05/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/06/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/07/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/08/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/09/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/10/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/11/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/12/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/13/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/14/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/15/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/16/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/17/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/18/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/19/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/20/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/21/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/22/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/23/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/24/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/25/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/26/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/27/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/28/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/29/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/30/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,05/31/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/01/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/02/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/03/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/04/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/05/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/06/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/07/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/08/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/09/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/10/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/11/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/12/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/13/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/14/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/15/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/16/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/17/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/18/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/19/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/20/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/21/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/22/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/23/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/24/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/25/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,06/26/2024,False
